season,race_num,race_name,race_date,driver,car,team,team_group,rank,rank_num,grid,laps,time_retired,pts_rank,pts_pole,pts_bonus,points
2,2,2015 Putrajaya,2015-11-07,Lucas di Grassi,11,ABT Schaeffler Audi Sport,Audi,1,1,6,33,50:17.449,25,0,0,25
1,4,2015 Buenos Aires,2015-01-10,António Félix da Costa,55,Amlin Aguri,Techeetah,1,1,8,35,48:52.100,25,0,0,25
5,1,2018 Ad Diriyah,2018-12-15,António Félix da Costa,28,Andretti-BMW,BMW-Andretti,1,1,1,33,46:29.377,25,3,0,28
6,2,2019 Diriyah race 2,2019-11-23,Alexander Sims,27,Andretti-BMW,BMW-Andretti,1,1,1,30,46:48.327,25,3,0,28
6,3,2020 Santiago,2020-01-18,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,1,1,2,40,46:11.511,25,0,0,25
6,8,2020 Berlin race 3,2020-08-08,Maximilian Günther,28,Andretti-BMW,BMW-Andretti,1,1,2,35,46:15.512,25,0,0,25
4,5,2018 Mexico City,2018-03-03,Daniel Abt,66,Audi,Audi,1,1,5,47,50:45.164,25,0,0,25
4,9,2018 Berlin,2018-05-19,Daniel Abt,66,Audi,Audi,1,1,1,45,55:35.546,25,3,1,29
4,10,2018 Zürich,2018-06-10,Lucas di Grassi,1,Audi,Audi,1,1,5,39,51:19.811,25,0,0,25
4,11,2018 New York City,2018-07-14,Lucas di Grassi,1,Audi,Audi,1,1,11,43,1:02:30.054,25,0,0,25
5,4,2019 Mexico City,2019-02-16,Lucas di Grassi,11,Audi,Audi,1,1,2,45,1:13:15.422,25,0,0,25
5,10,2019 Berlin,2019-05-25,Lucas di Grassi,11,Audi,Audi,1,1,3,37,47:02.477,25,0,1,26
1,1,2014 Beijing,2014-09-13,Lucas di Grassi,11,Audi Sport ABT,Audi,1,1,2,25,52:23.413,25,0,0,25
2,6,2016 Long Beach,2016-04-02,Lucas di Grassi,11,Audi Sport ABT,Audi,1,1,2,41,45:11.582,25,0,0,25
2,7,2016 Paris,2016-04-23,Lucas di Grassi,11,Audi Sport ABT,Audi,1,1,2,45,52:40.324,25,0,0,25
3,4,2017 Mexico City,2017-04-01,Lucas di Grassi,11,Audi Sport ABT,Audi,1,1,15,45,56'27.535,25,0,0,25
3,11,2017 Montreal,2017-07-29,Lucas di Grassi,11,Audi Sport ABT,Audi,1,1,1,35,56:55.592,25,3,0,28
